Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
07/06/2021,Northumberland,28,62,,,
11/13/2021,Mercer,125,19,123,,
12/20/2020,Armstrong,9,,,,
12/20/2020,Beaver,20,,,,
12/20/2020,Berks,80,,,,
12/20/2020,Blair,7,,,,
08/02/2021,Lackawanna,186,76,,,
04/01/2021,Lackawanna,1395,1173,,,
12/20/2020,Carbon,18,,,,
12/20/2020,Centre,47,,,,
01/05/2022,Lebanon,216,50,263,,
12/20/2020,Clarion,4,,,,
12/20/2020,Clearfield,6,,,,
12/20/2020,Clinton,13,,,,
12/20/2020,Crawford,5,,,,
03/02/2021,Venango,107,118,,,
05/17/2022,Beaver,17,19,20,120,
10/23/2021,Perry,28,24,110,,
12/20/2020,Elk,1,,,,
12/20/2020,Erie,132,,,,
12/20/2020,Fayette,3,,,,
12/20/2020,Franklin,4,,,,
12/20/2020,Huntingdon,4,,,,
12/20/2020,Indiana,4,,,,
12/20/2020,Jefferson,2,,,,
12/20/2020,Juniata,2,,,,
12/20/2020,Lackawanna,80,,,,
08/26/2022,Clearfield,5,1,3,6,
12/20/2020,Lycoming,19,,,,
12/20/2020,Mifflin,24,,,,
03/13/2021,Snyder,26,229,,,
08/04/2021,Juniata,11,22,,,
05/04/2021,Montgomery,2009,4301,,,
01/28/2022,Montgomery,561,387,1012,,
12/20/2020,Pike,3,,,,
12/20/2020,Snyder,11,,,,
12/20/2020,Somerset,13,,,,
12/20/2020,Susquehanna,5,,,,
12/20/2020,Tioga,2,,,,
12/20/2020,Union,20,,,,
12/20/2020,Venango,1,,,,
10/27/2022,Lehigh,17,24,,,850
12/20/2020,Wayne,11,,,,
12/20/2020,Wyoming,6,,,,
09/17/2021,Lebanon,77,150,13,,
12/21/2020,Adams,58,,,,
12/21/2020,Armstrong,89,,,,
11/04/2022,Bedford,1,1,,,62
12/21/2020,Bedford,19,,,,
12/01/2021,Blair,209,134,420,,
12/21/2020,Bradford,101,,,,
12/21/2020,Cambria,223,,,,
11/03/2021,Fayette,106,62,440,,
12/14/2021,Perry,32,40,122,,
12/21/2020,Clarion,18,,,,
11/05/2022,Mercer,2,1,,,61
02/17/2021,Westmoreland,1110,607,,,
11/18/2022,Beaver,1,4,,,179
11/01/2022,Bradford,1,1,,,54
05/06/2021,Cumberland,492,1369,,,
09/25/2021,Bucks,341,295,554,,
05/06/2021,Erie,259,1760,,,
12/21/2020,Forest,7,,,,
10/15/2021,Cambria,100,84,399,,
12/21/2020,Fulton,2,,,,
12/21/2020,Greene,11,,,,
12/21/2020,Huntingdon,102,,,,
12/21/2020,Indiana,157,,,,
12/21/2020,Juniata,13,,,,
06/26/2021,Allegheny,448,799,,,
12/21/2020,Lebanon,33,,,,
06/10/2022,Jefferson,2,5,3,10,
03/13/2021,Erie,869,2975,,,
12/21/2020,Mercer,175,,,,
12/21/2020,Mifflin,45,,,,
06/02/2022,Berks,66,32,80,213,
10/21/2022,Chester,37,71,,,1435
10/15/2022,Indiana,,,,,67
05/20/2022,Berks,72,64,85,409,
02/27/2021,Bedford,73,109,,,
08/05/2022,Huntingdon,14,2,2,10,
12/21/2020,Pike,8,,,,
12/21/2020,Potter,33,,,,
12/21/2020,Schuylkill,39,,,,
12/21/2020,Snyder,58,,,,
12/21/2020,Somerset,114,,,,
12/21/2020,Sullivan,4,,,,
12/21/2020,Susquehanna,8,,,,
12/21/2020,Union,99,,,,
12/21/2020,Venango,156,,,,
11/21/2022,Forest,,,,,8
01/04/2021,Washington,261,1,,,
12/21/2020,Wayne,16,,,,
03/03/2021,Huntingdon,75,66,,,
12/21/2020,Wyoming,18,,,,
01/31/2021,Snyder,45,20,,,
11/04/2021,Susquehanna,22,22,177,,
02/02/2021,Beaver,463,278,,,
07/11/2021,Lebanon,15,22,,,
02/27/2021,Lehigh,410,670,,,
10/18/2022,York,33,18,,,1097
12/22/2020,Bradford,89,,,,
12/22/2020,Cambria,272,,,,
12/22/2020,Cameron,6,,,,
03/16/2021,Erie,680,1894,,,
12/23/2021,Monroe,271,77,355,,
11/22/2021,Elk,16,8,69,,
10/07/2022,Cumberland,22,27,7,,717
07/05/2022,Out-of-State,186,58,46,17,
12/22/2020,Crawford,101,,,,
12/28/2020,Fayette,246,,,,
12/22/2020,Elk,106,,,,
12/22/2020,Erie,690,,,,
12/22/2020,Forest,9,,,,
11/13/2022,Adams,,1,,,26
12/22/2020,Fulton,4,,,,
12/22/2020,Greene,20,,,,
01/07/2021,Armstrong,126,30,,,
12/22/2020,Jefferson,178,,,,
12/22/2020,Juniata,12,,,,
02/21/2022,Philadelphia,462,735,585,1,
12/31/2021,Schuylkill,49,27,102,,
10/14/2022,Butler,9,11,,,697
12/22/2020,Lebanon,141,,,,
10/25/2022,Huntingdon,,,,,73
09/09/2022,Indiana,3,3,,,73
12/22/2020,Mckean,31,,,,
07/07/2022,York,43,36,81,179,
12/22/2020,Mifflin,48,,,,
04/10/2021,Mifflin,24,180,,,
07/06/2022,Montgomery,269,72,153,196,
09/04/2022,Cumberland,3,5,3,,26
07/11/2022,Lehigh,62,29,77,186,
09/13/2021,Carbon,48,63,7,,
12/22/2020,Pike,31,,,,
12/22/2020,Potter,29,,,,
12/22/2020,Schuylkill,191,,,,
06/20/2022,Cumberland,23,22,43,92,
12/22/2020,Sullivan,3,,,,
12/22/2020,Susquehanna,16,,,,
12/22/2020,Tioga,48,,,,
05/14/2022,Montgomery,106,112,150,537,
12/11/2021,Out-of-State,1503,766,422,,
12/22/2020,Warren,83,,,,
11/16/2022,Tioga,,,,,44
12/22/2020,Wayne,75,,,,
01/21/2022,Columbia,35,37,80,,
12/22/2020,Wyoming,16,,,,
05/24/2021,Columbia,68,80,,,
09/26/2021,Washington,80,63,110,,
07/14/2022,Bucks,137,113,121,317,
07/26/2021,Beaver,95,60,,,
10/02/2022,Crawford,,,,,45
12/23/2020,Bedford,40,,,,
12/03/2021,Lawrence,107,79,234,,
07/28/2021,Somerset,37,21,,,
11/28/2021,York,182,128,285,,
12/23/2020,Cameron,6,,,,
04/03/2022,Luzerne,13,19,26,113,
12/23/2020,Centre,160,,,,
